level,unit,week,lesson,word,syllables,sounds,definition,example_1,example_2,example_3,non_example,syntax,etymology,word_sums,suffixes,apply,dictation,thumbs
1,2,10,2,excessive,ex | cess | ive,,"If something is excessive, it is more than what is really needed.",The enormous Kardashian house is excessive for the small number of people who live there.,Twelve birthday cakes were an excessive amount for the small party.,Football players are given penalties if they tackle with excessive force.,"Buying 200 sausages for a sports carnival is not excessive, even though it’s a lot of sausages, because it’s probably not more than what would be needed.",adjective :: The excessive party :: cost more than $100 000. || adjective :: Excess food :: will be put in the green waste bin. || verb :: The class’s results :: exceeded the teacher’s expectations.,"Excessive is of Latin origin, from excedere, meaning ‘to depart or go beyond the bounds of reason’. || It came to English through French and meant something outrageous or extravagant.","ex:out, away + cess:to give way, yield + ive:having the quality of => excessive",excessive + s/es || excessive + ed || excessive + ing || excessive + ly,"Would the word excessive be used for these situations? || Explain why/why not: || Wearing a lifejacket, arm floats and goggles to sit in a paddling pool. || Using a whole loaf of bread to make one sandwich for lunch. || Wearing a helmet and enclosed shoes to ride your bike. || Ten people are coming to your birthday party, so you buy one large birthday cake. || When might someone be: || - excessively polite? || - excessively quick? || - excessively slow? || How might you know if you have packed an excess of clothes for a weekend trip?",,
1,2,10,3,indescribable,in | des | crib | able,,Something indescribable is too intense or extreme for words – it is beyond description.,The pain caused when she broke her collar bone was indescribable.,Bella gazed at the indescribable beauty of the sunset over the ocean.,The stench from the rotten seaweed was indescribable.,"A school playground at lunchtime is probably not indescribable, because it is probably not unusual or extreme enough to be beyond description.",adjective :: The view from the mountaintop :: is indescribable.,"Describe is from the Old French descrivre and directly from Latin describere meaning ‘to write down, sketch or represent something’. || In the 1700s, indescribable began to be used for something that was not able to be described.","in:not + de:un, down, off, totally, out, away + scribe:to write + able:capable of => indescribable",indescribable + ly,Example or non-example? || The love a father has for his children || An old country cottage || The terror and misery caused by war || The experience an astronaut feels when looking down at Earth from space || A fluffy baby chick || The feeling of holding a fluffy baby chick in the palm of your hand,,
1,3,1,1,bicycle,bi | cycle,,A bicycle is a two-wheeled vehicle that you ride by pushing pedals with your feet.,Some people ride bicycles to work or school.,The law states that you must wear a helmet when riding a bicycle.,,A four-wheeler is not a bicycle because it has more than two wheels.,noun :: My tricycle :: has a flat tyre. || noun :: The children :: rode their bicycles to the park after school.,"Bicycle is of Greek and Latin origin, from bi, meaning ‘two’, and kyklos, meaning ‘circle, wheel’. || It has been in use since 1868. Bicycles replaced a previous mode of transport, called the velocipede. || The Greek form kyklos also gives us the name of a monster: cyclops. A cyclops had one round eye: cycl meaning ‘circle, wheel’ and ops meaning ‘eye’.","bi:two + cycle:circle, wheel => bicycle || tri:three + cycle:circle, wheel => tricycle",bicycle + s => bicycles || bicycle + ed => bicycled || bicycle + ing => bicycling,Would you use a bicycle in these situations? || Explain why/why not: || Inside a shopping centre. || To travel to the local shops. || Riding along the cycle path next to the coast. || On the sand at the beach. || When did you last ride a bicycle? || Where did you ride it to?,,+ A two-wheeled vehicle you move by pushing the pedals. || + What you lock to the rack outside the school gate. || - A four-wheeled quad bike with an engine. || - A skateboard you push along with one foot.
1,3,1,2,cyclist,cyc | list,,"A cyclist is someone who rides, or is riding, a bicycle.",The cyclist was wearing pink and purple lycra.,A peloton is the collective noun for a group of cyclists in a race.,,Someone riding a scooter is not a cyclist because they are not riding a bicycle.,noun :: The cyclist :: swerved to miss the pothole in the road. || noun :: Many roads :: have specific lanes for cyclists to use.,"Cyclist is of Greek and Latin origin, from the word bicyclist, meaning ‘one who rides a bicycle’. || It was first used in 1882.","cycle:circle, wheel + ist:one who does => cyclist",cyclist + s:=      cyclists,"Example or non-example? || Someone who is competing in the Tour de France. || A race car driver. || A person who frequents a velodrome, or special building with a cycle track, on the weekends. || Someone who is travelling to school on an electric scooter.",,+ Someone in a helmet pedalling along the coast path. || + A rider competing in the Tour de France. || - A person riding an electric scooter to school. || - A driver sitting in a car at the traffic lights.
1,3,1,3,cyclic,cyc | lic,,"If something is cyclic, it happens again and again in the same order, like a circle.","The seasons are cyclic, as they occur in the same order every year.","Photosynthesis, where plants convert water and carbon dioxide into sugar and oxygen, is a cyclic process.",,"Going up through the year levels at school is not cyclic, because the levels and what you learn changes each year.",adjective :: The ocean tides :: are cyclic in nature. || adjective :: Cyclic processes :: include the water cycle and the waxing and waning of the moon.,"Cyclic is of Greek and Latin origin, from kyklikos, meaning ‘moving in a circle’. || It has been used since 1794.","cycle:circle, wheel + ic:having the manner or nature of => cyclic",cyclic + al => cyclical || cyclic + al     +:ly,Build words using morpheme tiles: || cycle || bi || tri || -ist || -ic || -s || -ed || -ing,,+ The seasons following each other in the same order every year. || + The moon waxing and waning month after month. || - Moving up to a new year level with new work each year. || - Growing taller as you get older.
1,3,1,4,cyclone,cyc | lone,,A cyclone is a tropical storm in which the wind moves around a circular ‘eye’.,A cyclone forms when an area of low pressure draws in surrounding winds.,Average wind speeds must be greater than 63 kilometres per hour for a storm to be categorised as a cyclone.,"Cyclones are common in the tropics, or areas near the Equator, and northern Australia has about 11 cyclones per year.","A tornado has wind that moves around very quickly, but it is part of a thunderstorm and doesn’t last long, so it is not the same as a cyclone.",noun :: Cyclone Tracy :: destroyed most of Darwin in 1974. || adjective :: The cyclonic winds :: rattled the windows.,"Cyclone is of Greek origin, from the word kyklon, meaning ‘moving in a circle, whirling around’. || The word was coined by a British East India Company officer, named Henry Piddington, in 1848 to describe a huge storm that occurred in Coringa, India, in December 1789.",cyclone:moving in a circle + s:plural => cyclones || cyclone:moving in a circle + ic:having the manner or nature of => cyclonic,,Build words using morpheme tiles:,Most kids ride a tricycle before learning to ride a bicycle. || The cyclonic winds battered the house. || Groups of cyclists are a common sight on the weekend. || Cyclic patterns repeat over time.,"+ A tropical storm with winds spinning around a calm eye. || + A huge storm that crosses the coast of northern Australia in summer. || - A short thunderstorm with a quick spinning funnel of wind. || - A hot, still day with no wind at all."
1,3,2,1,signal,sig | nal,,A signal is a sound or action that sends a message.,"When you hear the school bell, it is a signal that class has finished, or that it is time to return to class.",Traffic lights are signals that help control traffic on the roads and keep people safe.,,"If you shake your head to get your hair out of your eyes, it is not a signal, because you’re not trying to send a message.",noun :: Cyclists :: use hand signals to communicate with other road users. || noun :: Air traffic controllers :: have to learn many signals in order to do their job.,"Signal is of Latin origin, from the word signum, meaning ‘identifying mark, sign’. || It has been used to mean a ‘conventional or agreed upon sign’ since the 1590s.","sign:to give a sign, mark + al:relating to => signal",signal + s || signal + ed || signal + ing || signal + er || signal + s,Could the word signal be used in the following situations? || Explain why/why not: || Clapping your hands at the end of a play. || Telling your friend how much you enjoyed the play you saw at the weekend. || Pulling your sister towards you so she will avoid stepping into a puddle. || The fridge beeping because the door has been left open. || Can you think of any other examples of signals? || When do you encounter signals in your life?,,
1,3,2,2,design,design,,To design something is to make or draw a plan for how to create it.,Part of an architect’s job is to design buildings.,People who design clothing are called fashion designers.,,"Builders use a design to build a house, but usually don’t design it themselves – they don’t come up with the plans for how to create the house.",verb :: I :: designed my costume for Halloween. || verb :: The artist :: was asked to design the cricket team’s new uniform.,"Design is of Latin origin, from the word designare, meaning ‘mark out, point out; devise’. || It has been used since the late 14th century.","de:out, away + sign:to give a sign, mark => design",design + s || design + ed || design + ing || design + er:(at)ion || design + s,Example or non-example? || Drawing a plan of where you would like to plant flowers in your garden. || Creating sewing patterns that are used to make clothing. || Completing a quick sketch of a cat. || Building IKEA furniture.,,
1,3,2,3,resign,resign,,"If you resign from something, you give it up.",The coach of a sports team may choose to resign if their team is performing poorly.,It is common to write a letter to let your boss know that you are resigning.,,"If someone is fired, they are not resigning, because it wasn’t their choice to leave their job.",verb :: Many doctors :: resign due to stress. || verb :: My mother :: worked at her company for three weeks after resigning.,"Resign is of Latin origin, from resignare, meaning ‘to check off, annul, cancel, give back, give up’. || It has been used since the late 14th century.","re:back, undo + sign:to give a sign, mark => resign",resign + s || resign + ed || resign + ing || resign + (at)ion || resign + s,,,
1,3,2,4,assign,as | sign,,To assign something is to give it to someone specific.,Your teacher might assign you homework to complete during the week.,Parents often assign chores to their children in exchange for pocket money.,,"If you reached into a box and picked out an object at random, it has not been assigned to you, because there is not a specific thought behind you having it.",verb :: Everyone in the class :: was assigned a job to help tidy the classroom.,"Assign is of Latin origin, from the word assignare/adsignare, meaning ‘to mark out, to allot by sign, award’ and has been in use since 1300. || It was originally used to mean the transfer of personal property from one person to another.","as:to, towards, near + sign:to give a sign, mark => assign",assign + s || assign + ed || assign + ing || assign + (at)ion || assign + s,Write sentences using at least two of the words you build.,,
1,3,3,1,reflect,re | flect,,To reflect is to give back or show an image or likeness of something.,"Mirrors reflect light, which allows us to see an image.",The boy’s face was reflected in the surface of the pond.,John’s good behaviour reflected his parents’ teachings.,A concrete floor isn’t reflective – it won’t bounce light or an image back to you.,verb :: Glass :: reflects light naturally. || verb :: John :: reflected on his choices.,"Reflect is of Latin origin, from reflectere, meaning ‘to bend back, turn away’. || Reflect has been used in reference to a likeness in a mirror or other shiny surface since the late 14th century. The meaning ‘to think deeply’ is from the 1600s.","re:back, again + flect:to bend => reflect",reflect + s || reflect + ed || reflect + ing || reflect + ive || reflect + ion || reflect + or || reflect + s,Could the word reflect be used in the following situations? || Explain why/why not: || Seeing your face in the mirror. || Wearing the same outfit as your best friend. || Seeing your face in the shop windows as you walk down the street. || Getting a personal-best time in swimming after training for many weeks. || Showing your teacher a photograph of your new puppy. || Can you think of any other examples of reflections? || When do you encounter reflections in your life?,,
1,3,3,2,deflect,de | flect,,To deflect something is to turn away from where it was going to go.,A goalie tries to deflect the ball from the goal.,The politician deflected the tricky question from the journalist by changing the subject.,,"If a goalie caught the ball, it would not be deflected, even if they saved the goal. It would only have been deflected if it was turned away from where it was going, not stopped entirely.",verb :: The boxer :: blocked to deflect the punch || verb :: Jake :: deflected his teacher’s questions about his homework by asking her about her dog.,"Deflect is of Latin origin, from the word deflectere, meaning ‘to bend something down, turn aside’.",de:away + flect:to bend => deflect,deflect + s || deflect + ed || deflect + ing || deflect + ive || deflect + able || deflect + or || deflect + ion || deflect + s,Example or non-example? || Using a shield to turn the arrows away from hitting you. || Making a joke so that your friend doesn’t get upset about something. || Following the map to reach your destination on time. || Owning up and taking responsibility for something that was your fault straight away without making excuses.,,
1,3,3,3,flexible,flex | ible,,"If something is flexible, it is able to bend or be changed easily.","The paintbrush had long, flexible bristles.",The gymnast was extremely flexible.,,"Desks are not flexible because we need a strong, flat surface to write on.",adjective :: The flexible branches :: waved in the breeze. || adjective :: She :: exercised to become stronger and more flexible.,"Flexible is of Latin origin, from flexibilis, meaning ‘that may be bent, pliant, flexible, yielding’.",flex:to bend + ible:capable of => flexible,flexible + in || flexible + ness || flexible + ly,,,
1,3,3,4,reflex,re | flex,,A reflex is an action you do without thinking.,"When the ball came towards him, his reflex action was to catch it.","When food stuck in his throat, the cough reflex helped clear it.",,"If you drop a knife and manage to stop yourself trying to catch it, that is not a reflex – instead, you are acting with careful thought.",noun :: Sneezing :: is a reflex to dust or something else that irritates your nose. || noun :: The netballer’s reflexes :: were lightning fast.,"Reflex is of Latin origin, from reflectere, meaning ‘to bend back or turn away’. It has been in use since the 1500s. || From 1833, a reflex action has been used to refer to ‘a simple, involuntary action of the nervous system’.","re:back, again + flex:to bend => reflex",reflex + es || reflex + ive || reflex + ly || reflex + ness,Write sentences using at least two of the words you build.,,
1,3,4,1,spectacle,spec | tacle,,A spectacle is a strange or interesting sight or an impressive event.,The fireworks display was an impressive spectacle.,The Olympics are an incredible spectacle of sporting achievement.,,Watching a normal football match would not be described as a spectacle unless something very impressive or unusual happens.,noun :: A volcanic eruption :: is a fascinating yet dangerous spectacle to observe. || noun :: The incredible spectacle :: performed by the circus acrobats was unforgettable.,"Spectacle is of Latin origin, from the word spectaculum, meaning ‘to look at, watch, observe’. || Its use as a word for reading glasses, ‘spectacles’, began in the 14th century.",spect:to look + (ac)le:forms nouns from verbs => spectacle,spectacle + s || spectacle + ed || spectacle + (ul)ar,Would the word spectacle be used for these situations? || Explain why/why not: || The opening ceremony of the Olympic Games. || Seeing your teachers do a flash mob dance at lunchtime. || Watching your little brother at soccer training. || Watching school students playing on the oval at recess.,,
1,3,4,2,perspective,per | spect | ive,,Perspective is your view or the particular way you think about something.,"After the argument, Charlotte calmed down and she was able to see things from Mum’s perspective.","When artists draw objects in perspective, they use techniques to make them seem closer or further away.",,"If you disagree with someone and refuse to take their point of view, then you’re not taking their perspective.",noun :: Your perspective of the Earth :: changes when you view it from space. || noun :: Kai’s perspective :: on homework is very different to his teacher’s.,"Perspective is of Latin origin via Old French, from || perspicere, meaning ‘inspect, look through, look closely at’. It has been in use since the late 14th century. || In art, perspective refers to how to draw solid objects on a flat surface to make them appear the appropriate size in relation to each other.",per:through + spect:to look + ive:having the quality or tendency of => perspective,perspective + s,Example or non-example? || The view of a city from an aeroplane window. || What someone thinks about keeping animals in zoos. || Wanting to eat chocolate cake for breakfast. || Staying silent when asked what you think of the new school uniform.,,
1,3,4,3,aspect,as | pect,,"An aspect is a part of someone’s character, or the direction something faces.",Kindness is often an aspect of a nurse’s character.,Kings Park in Perth has an excellent aspect over the city.,"Aspect is different to perspective: aspect refers to the way something faces, and perspective refers to how you choose to look at something.",,noun :: Every aspect of the crime scene :: is looked at by the forensic team. || noun :: The internet :: has transformed many aspects of our lives.,"Aspect is of Latin origin, from aspectus, meaning ‘looking at, a seeing, appearance’. || Early on, the word was an astrological term used to refer to the position of the planets as they appeared from the Earth. The meaning ‘the appearance of things’ was used from the 15th century.","a:to, towards, near + spect:to look => aspect",aspect + s,,,
1,3,4,4,inspect,in | spect,,To inspect something is to look at it closely or carefully.,Pilots inspect the weather forecast before a flight.,You need to inspect a second-hand car carefully before you buy it.,,"If you watch a movie, you are probably not inspecting it, because you’re unlikely to be looking at it very carefully – you’re more likely to be enjoying the story.",verb :: Custom officers :: inspect our passports before they let us into the country.,"Inspect is of Latin origin, from inspicere, meaning ‘to look at, observe, view’. || It has been in use since the 1620s.","in:in, into, on, upon + spect:to look => inspect",inspect + s || inspect + ed || inspect + ing || inspect + able || inspect + or || inspect + ion || inspect + s,Write sentences using at least two of the words you build.,,
1,3,5,1,various,vari | ous,,"If you have a various things, there are several different types of them.",You might give your parents various reasons why you should be allowed to stay up late.,In the supermarket there are various groceries available to purchase.,,"If a cake shop has lots of the same type of cake, then it does not have various cakes.",adjective :: There are various herbs :: growing in the garden. || adjective :: Cats :: come in various shapes and sizes.,"Various is of Latin origin, from the word varius, meaning ‘changing, different, diverse’, and has been used since the early 15th century.","vari:to differ, vary + ous:full of, characterised by => various",various + ly || various + ness,Could the word various be used in the following situations? || Explain why/why not: || A factory that only refines salt. || The lollies that are available in a lolly shop. || Having several outfits to choose from to wear to a party. || Going to a movie theatre that is only showing one film. || Can you think of anything else you would describe as various? || When have you encountered something that was various?,,
1,3,5,2,variety,vari | ety,,Variety means having several different kinds of the same thing.,There is a wide variety of cheeses in the supermarket.,Pilots get to visit a wide variety of countries.,,You would not say that a talent show had variety if all of the performers sang the same song.,noun :: We :: learn about a variety of topics at school. || noun :: The all-you-can-eat buffet :: included a variety of different dishes.,"Variety is of Latin origin, from the word varietatem, meaning ‘difference, diversity’. || It has been in use since the 1530s.","vari:to differ, vary + (e)ty:forms nouns denoting quality or condition => variety",variety + s,"Example or non-example? || Eating the same meal for breakfast, lunch, and dinner. || Going to a theme park with over twenty different rides. || The large number of different books that are available to borrow from your school library. || Wearing your hair the same way every day.",,
1,3,5,3,variation,vari | ation,,"A variation in something is a slight change in its level, amount, or quantity.",Scientists studying climate change examine variations in global temperatures.,Heart rate monitors can detect if there is any variation in your resting heart rate.,Keeping your air conditioner at 23 degrees means there should be no variation in the temperature inside your house.,,noun :: Variations in cooking time :: can affect the texture of a cake. || noun :: Seismologists :: study variations in the Earth’s vibrations to detect earthquakes.,"Variation is of Latin origin, from variationem, meaning ‘a difference, change’. || It has been in use since the late 14th century.","vari:to differ, vary + (at)ion:noun of action => variation",variation + s,,,
1,3,5,4,variance,vari | ance,,The variance is how things differ.,There is a wide variance in the quality of laptops available for purchase.,"The North and South Pole are the places with the greatest variance in daylight hours. They experience periods of complete darkness during winter, and 24-hour daylight during summer.","There are various sizes of Mars Bar, but there should be no variance in their taste.",,noun :: The variance :: in the players’ skills made them a successful team.,"Variance is of Latin origin, from the word variantia, meaning ‘to change’ and has been in use since the late 14th century.","vari:to differ, vary + ance:forms abstract nouns => variance",variance + in || variance + s,Write sentences using at least two of the words you build.,,
1,3,6,1,telescope,tele | scope,,A telescope is used to make far away objects look bigger.,Astronomers use telescopes to observe planets and stars in our solar system.,The rings of Saturn can be seen through a telescope.,,"Glasses are not telescopes, because while they help people see more clearly and might make a things a bit bigger, they don’t help with seeing objects that are very far away.",noun :: Powerful telescopes :: help us to observe far away planets. || noun :: Mitchell :: looked through the telescope to watch the rare birds.,"Telescope is of Greek origin from teleskopos, meaning ‘far-seeing’. It has been in use since the 1600s. || Telescopes were first invented by spectacle makers in the Netherlands in the early 1600s. They were made famous by Italian scientist, Galileo Galilei, who used them to make discoveries about our solar system.",tele:far + scope:instrument for seeing => telescope,telescope + s => telescopes || telescope + ic => telescopic,Would a telescope be used for these situations? Explain why/why not: || Looking at the Milky Way. || Watching your favourite football team in the stadium. || Looking at your little brother playing on the playground in the park. || Observing a lunar eclipse. || Can you think of other things you would use a telescope to look at? || Have you ever used a telescope before?,,
1,3,6,2,telephone,tele | phone,,A telephone is a device used to talk to someone in a different place.,Pippa used the telephone to speak to her friend living overseas.,The receptionist answered the telephone at the medical centre.,"Now, we can use other things to speak to someone far away, like video calls on a computer.",,noun :: The telephone in the front office :: rang constantly. || verb :: Max :: telephoned his grandma who lives overseas.,"Telephone is of Greek origin, from tele, meaning ‘distant or far away’, and phone meaning ‘sound’. || The word has been in use since the 1830s.","tele:far + phone:voice, sound => telephone",telephone + s => telephones || telephone + ed => telephoned || telephone + ing => telephoning || telephone + ic => telephonic || telephone + ist => telephonist,Example or non-example? || A device that we use to talk to a friend living in the next city. || A device that you use to talk to your Grandma who lives overseas. || Something needed to talk to your friend while you eat lunch together. || Something needed to ask your teacher a question during your Maths lesson.,,
1,3,6,3,photograph,pho | to | graph,,A photograph is a picture made using a camera.,Michael is looking at old photographs with his grandmother.,I always take a lot of photographs when I travel.,,A drawing is not a photograph because it is not made using a camera.,noun :: Her photograph :: appeared in the local newspaper after winning the championships. || verb :: The mother :: photographed her children at the family picnic.,"Photograph is of Greek origin, from photo, meaning ‘light’ and graph meaning ‘something written’. || The word photograph was coined in 1839 by Sir John Herschel, an English polymath, who was also a pioneer of photography.","photo:light + graph:a writing, drawing, or picture of => photograph",photograph + s => photographs || photograph + ed => photographed || photograph + ing => photographing || photograph + er => photographer || photograph + ic => photographic || photograph + y => photography,Build words using morpheme tiles: || tele || scope || phone || photo || graph/graphy,,
1,3,6,4,microscope,mi | cro | scope,,A microscope is used to make very small objects bigger so they’re easier to see.,Jaxon loves looking at coral under a microscope.,The scientist spent weeks hunched over a microscope looking at bacteria cells.,"A microscope and a telescope are different – they both make things easier to see, but a microscope makes small things bigger, and a telescope makes things that are far away bigger and easier to see.",,noun :: Students :: viewed the crystals through a microscope. || noun :: The microscope :: is an essential piece of equipment for scientific researchers.,"Microscope is of Greek origin, from micro, meaning ‘small’ and scope, meaning ‘an instrument for seeing’. || The word has been in use since the 1650s.",micro:small + scope:instrument for seeing => microscope || microscope + s => microscopes || microscope + ic => microscopic,,Build words using morpheme tiles:,,
1,3,7,1,fraction,frac | tion,,A fraction is a part of a whole.,The maths teacher asked the class to express six as a fraction of twenty-four.,Hudson hesitated for a fraction of a second before responding.,,"If you have more than someone else, you don’t have a fraction of what they have, because a fraction is a part.",noun :: Matilda :: only ate a fraction of her lunch because she wasn’t hungry. || noun :: A small fraction of the fans :: booed at the opposing team.,"Fraction is of Latin origin, from fractionem, meaning ‘to break’. || It has been in use since the late 14th century.",fract:to break + ion:noun of action => fraction,fraction + s || fraction + al,Could the word fraction be used in the following situations? || Explain why/why not: || Your slice of a large cake. || 100% of the school’s students attending the disco. || The part of your pocket money that you spend on clothing. || The whole bar of chocolate. || Can you think of any other situations where we would use the word fraction?,,
1,3,7,2,fracture,frac | ture,,To fracture something is to cause a slight break or crack in it.,Jasmine fractured her arm when she fell off her horse.,The girls’ relationship fractured after Susie told everyone about Chantelle’s secret.,,"When you break a biscuit in half, it’s not a fracture, because it’s a complete break, not a slight break.",verb :: Zac :: fractured his collar bone. || noun :: The fracture :: is 3cm long.,"Fracture is of Latin origin, via Old French, from fractura, meaning ‘a breach, break, cleft’. || It has been in use since the early 15th century.",fract:to break + ure:action or process => fracture,fracture + s || fracture + ed || fracture + ing || fracture + al,Example or non-example? || Rock surface cracking after an earthquake. || Cracking your skull. || Bruising your knee when you walk into a coffee table. || Snapping a muesli bar in half.,,
1,3,7,3,refract,re | fract,,"To refract is to bend rays of light, heat, or sound by passing them through different materials.","Sunlight refracts through the water, creating beautiful patterns on the ocean floor.",Scientists study how sound waves refract off different surfaces to help design buildings that effectively absorb noise.,,"A mirror doesn’t refract light – it reflects it, or bounces it back.",verb :: Light :: refracted through water droplets causes rainbows.,"Refract is of Latin origin, from refractus, meaning ‘to break up’. || It has been in use since the 1610s.","re:back, again + fract:to break => refract",refract + s || refract + ed || refract + ing || refract + ive || refract + ion || refract + s,,,
1,3,7,4,infraction,in | frac | tion,,"An infraction is the breaking of a law, rule or agreement.",Shoving the referee is a serious infraction of football rules.,Cheating in a test is an infraction of school rules.,,"Infraction sounds like it could mean the opposite of a fraction – like ‘not fraction’. However, that’s not the meaning of in- in this word.",noun :: The students :: committed an infraction of school rules when they ran around the classroom. || noun :: A serious traffic infraction :: is driving over the speed limit in a school zone.,"Infraction is of Latin origin, from infringere, meaning ‘to damage, break off, break’. It has been in use since the mid-15th century. || The verb infract (1560s) is an archaic word. It was once common, but is rarely used now.","in:in, into, on, upon + fract:to break + ion:noun of action => infraction",infraction + s || infraction + s || infraction + ed || infraction + ing || infraction + or,Write sentences using at least two of the words you build.,,
1,3,8,1,numerical,nu | mer | ic | al,,Numerical means expressed in or relating to numbers.,Houses on a street are listed in numerical order.,The biologist analysed the numerical data from the experiment to find the relationship between temperature and plant growth.,"Authors in a bookshop are likely to be organised alphabetically by surname, instead of numerical order.",,adjective :: The competitors :: lined up for the race in numerical order.,"Numerical is of Latin origin, from numerus, meaning ‘a number’. || It has been in use since the 1620s.","numer:number + ical:connected, dealing with => numerical",numerical + ly,"Could the word numerical be used to describe these examples? || Explain why/why not: || The colour of each person’s socks. || The favourite song of each student in your class. || The number of blue cars sold in a showroom in July. || The wettest months, in terms of millimetres of rainfall, in Australia over the past decade. || Can you think of any other information that could be described as numerical? || When have you had to organise something in numerical order? || Why is this useful?",,
1,3,8,2,numerous,nu | mer | ous,,If something is numerous it exists in large numbers.,The author won numerous awards for his historical fiction writing.,"Despite numerous attempts, Noah didn’t finish his homework on time.",,"If a stolen bike was reported to the police, you would not say numerous reports had been made, as there was only one report.",adjective :: Nicola :: has numerous scarves in different colours. || adjective :: Numerous family members :: attended Luca’s birthday party.,"Numerous is of Latin origin, from numerus, meaning ‘a number’. || It has been in use since the early 15th century.","numer:number + ous:full of, characterised by => numerous",numerous + ly || numerous + ness || numerous + (i)ty,"Example or non-example? || A school with 1,500 students. || When there have been lots of complaints. || Having one sister. || Singing one song.",,
1,3,8,3,numerate,nu | mer | ate,,Someone is numerate when they can understand and work with numbers.,"If you are numerate, you can count, add, subtract and understand numbers well.",You need to be numerate to work as an accountant.,,"Young children might be able to recite numbers, but they probably are not numerate because they do not really understand how to use numbers to add, subtract, and to do other maths tasks.",adjective :: Coen :: learnt to be numerate by paying attention in his maths lessons. || adjective :: The numerate child :: counted all the apples in the basket.,"Numerate is of Latin origin, from the word numeratus, meaning ‘to count, to number’. || It has been in use since 1721.",numer:number + ate:forms participle adjectives => numerate,numerate + or || numerate + ion || numerate + s,,,
1,3,8,4,innumerable,in | nu | mer | able,,Innumerable means too many to be counted.,He had innumerable injuries during his football career.,There are innumerable weeds growing in my back yard.,,Even a very big school won’t have innumerable students – schools need to know exactly how many students they have enrolled!,adjective :: The Olympic athletes :: received innumerable well-wishes from their supporters. || adjective :: Innumerable stars :: exist in our galaxy.,"Innumerable is of Latin origin, from the word innumerabilis, meaning ‘countless, immeasurable’. || It has been in use since the mid-14th century.",in:not + numer:number + able:capable of => innumerable,innumerable + ly,Write sentences using at least two of the words you build.,,
1,3,9,1,forecast,fore | cast,,A forecast is a statement of what you think is going to happen in the future.,The weather forecast shows rain for this afternoon.,The analyst forecasted that the Prime Minister would win the election.,Experts forecast that the economy will slow in the coming months.,,verb :: The company :: is forecasting reduced profits next year. || noun :: The forecast :: is for heavy showers later today.,"Forecast is of Anglo-Saxon (Old English) origin, from fore, meaning ‘before’ and casten meaning ‘contrive, plan, prepare’. || Initially, the word was used to mean ‘planning or preparing for the future’ and in the late 15th century, evolved to mean ‘to predict events’.","fore:in advance + cast:to throw, project => forecast",forecast + s => forecasts || forecast + ing => forecasting || forecast + ed => forecasted || forecast + er => forecaster,Would the word forecast be used for these situations? || A meteorologist reporting what the weather will be like tomorrow. || My mum saying she thinks my team will win the soccer game on Saturday. || The chef saying the cake will be ready in five minutes. || An economist saying what will happen with interest rates next year. || Can you think of any other situations where forecasting would happen?,,
1,3,9,2,before,be | fore,,"If something is before something else, it is in front of it or it happened at an earlier time.",Annie was born a few weeks before Christmas.,There is a gate at the end of the driveway before the house.,Lightning and thunder happen at the same time – but we often see the lightning before we hear the thunder.,,preposition :: I :: went to the shops before doing my housework.,"Before is of Anglo-Saxon (Old English) origin, from beforan, meaning ‘in front of, in former times, in the presence of’.",be:around + fore:in advance => before,,Example or non-example? || Standing in front of the classroom door. || Brushing your teeth and then getting ready for school. || Going to bed. || Dancing to music on the radio at the same time as your Mum prepares dinner.,,
1,3,9,3,behold,be | hold,,To behold something or someone is to see them.,Watching the dolphins playing in the surf was a joy to behold.,It was a pleasure to behold the beauty of the sunset.,The enormous crowd was a sight to behold.,,verb :: The wonderous garden :: was a sight to behold.,"Behold is of Anglo-Saxon (Old English) origin, from behealdan, meaning ‘give regard to, hold in view’.",be:around + hold:to watch over => behold,behold + s => beholds || behold + ing => beholding || behold + er => beholder,Build words using morpheme tiles: || fore || cast || be || hold,,
1,3,9,4,recast,re | cast,,To recast is to change or organise something in a different way.,The director had to recast four of the major roles in his movie.,"The students didn’t seem to understand, so the teacher recast her question in simpler terms.",,"If you copy a drawing exactly, you aren’t recasting it, because it has not been changed or made again differently.",verb :: The author :: recast the classic story with a twist for modern audiences.,"Recast is of Anglo-Saxon (Old English) origin, from re, meaning ‘back, again’ and cast, meaning ‘to throw’. || The word originates from the 16th century. However, the use of the word in the theatre, in the sense of ‘assign a role to another actor’, is from the early 1900s.","re:back, again + cast:to throw, project => recast || recast + s => recasts || recast + ing => recasting || recast + er => recaster",,Build words using morpheme tiles:,,
